slug,status,organization,code,detail
"st-austin-catholic-parish-outreach-program","published","St. Austin Catholic Parish","tracking_params_in_url","website_url"
"st-austin-catholic-parish-outreach-program","published","St. Austin Catholic Parish","tracking_params_in_url","source_url"
"greater-mt-zion-church-greater-mt-zion-church-2","published","Greater Mt. Zion Church","hours_identical_prose","Food Pantry: 1st, 2nd & 3rd Saturdays, 9:30 a.m.–12:30 p.m.
"
"el-buen-samaritano-community-support-for-individuals-and-families","published","El Buen Samaritano","in_person_without_address",""
"lake-travis-isd-programas-para-estudiantes-sin-hogar-mckinney-vento-lake-travis-independent-school-district","published","Lake Travis ISD – McKinney-Vento Program","address_without_in_person",""
"capital-area-counseling-affordable-counseling-services","published","Capital Area Counseling","address_without_in_person",""
"texas-health-and-human-services-commission-temporary-assistance-for-needy-families-tanf","published","Texas Health and Human Services Commission","tracking_params_in_url","website_url"
"texas-health-and-human-services-commission-temporary-assistance-for-needy-families-tanf","published","Texas Health and Human Services Commission","tracking_params_in_url","source_url"
"westcave-outdoor-discovery-center-youth-development-and-recreation-programs","published","Westcave Outdoor Discovery Center","in_person_without_address",""
"linea-confidencial-24-7-para-violencia-y-abuso-the-safe-alliance","published","The SAFE Alliance","no_description_either_language",""
"st-elizabeth-of-hungary-sociedad-de-san-vicente-de-paul-st-elizabeth-of-hungary-catholic-church","published","St. Elizabeth of Hungary Catholic Church – St. Vincent de Paul","address_without_in_person",""
"st-elizabeth-of-hungary-sociedad-de-san-vicente-de-paul-st-elizabeth-of-hungary-catholic-church","published","St. Elizabeth of Hungary Catholic Church – St. Vincent de Paul","service_area_names_city",""
"manor-mustang-health-center-people-s-community-clinic-integral-care-people-s-community-clinic-integral-care","published","People's Community Clinic / Integral Care","service_area_names_city",""
"hutto-resource-center-williamson","draft","Hutto Resource Center","no_contact_method",""
"city-reach-church-williamson","draft","City Reach Church","no_contact_method",""
"round-rock-area-serving-center-assistance","published","Round Rock Area Serving Center","no_description_either_language",""
"bluebonnet-trails-mental-health-williamson","published","Bluebonnet Trails Community Services","no_description_either_language",""
"bluebonnet-trails-mental-health-williamson","published","Bluebonnet Trails Community Services","in_person_without_address",""
"georgetown-housing-authority-programs","published","Georgetown Housing Authority","no_description_either_language",""
"servicio-local-de-la-ciudad-de-smithville-carts-carts-en-contrato-con-la-ciudad-de-smithville","draft","CARTS, en contrato con la Ciudad de Smithville","in_person_without_address",""
"autoridad-de-vivienda-de-elgin-elgin-housing-authority","draft","Elgin Housing Authority","hours_one_language_only",""
"proyecto-de-solicitud-simplificada-de-texas-tsap-snap-para-adultos-mayores-feeding-texas-texas-hhsc","published","Feeding Texas / Texas HHSC","hours_one_language_only",""
"proyecto-de-solicitud-simplificada-de-texas-tsap-snap-para-adultos-mayores-feeding-texas-texas-hhsc","published","Feeding Texas / Texas HHSC","in_person_without_address",""
"williamson-county-family-recovery-court","published","Williamson County","in_person_without_address",""
"workforce-solutions-rural-capital-area-williamson","published","Workforce Solutions Rural Capital Area","in_person_without_address",""
"servicios-de-proteccion-para-adultos-de-texas-aps-linea-estatal-texas-department-of-family-and-protective-services-dfps","draft","Texas Department of Family and Protective Services (DFPS)","phone_not_dashed","1-800-252-5400"
"uplift-university-presbyterian-church-uplift-university-presbyterian-church","published","UPLift @ University Presbyterian Church","hours_one_language_only",""
"uplift-university-presbyterian-church-uplift-university-presbyterian-church","published","UPLift @ University Presbyterian Church","phone_not_dashed","512-476-5321 ext. 114"
"servicios-legales-de-inmigracion-american-gateways","published","American Gateways","no_description_either_language",""
"centros-de-salud-y-bienestar-central-health","published","Central Health","in_person_without_address",""
"asistencia-de-pago-inicial-hill-country-home-travis-county-housing-finance-corporation-travis-county-housing-finance-corporation","published","Travis County Housing Finance Corporation (TCHFC)","address_without_in_person",""
"programa-de-consejeria-hope-texas-baptist-children-s-home","published","Texas Baptist Children's Home","no_description_either_language",""
"any-baby-can-community-support-for-individuals-and-families","published","Any Baby Can","in_person_without_address",""
"trla-lassa-asistencia-legal-para-sobrevivientes-de-agresion-sexual-texas-riogrande-legal-aid","published","Texas RioGrande Legal Aid (TRLA) – Legal Aid for Survivors of Sexual Assault (LASSA)","in_person_without_address",""
"half-helen-foundation-community-eye-exams","published","Half Helen Foundation","address_without_in_person",""
"national-sexual-assault-legal-hotline-legal-and-safety-support-williamson","draft","National Sexual Assault Legal Hotline","draft_missing_source_url",""
"enrollment-department-call-center-community-support-fayette","draft","Enrollment Department Call Center","draft_missing_source_url",""
"clases-de-ingles-ged-y-capacitacion-laboral-austin-community-college-district","published","Austin Community College District","no_description_either_language",""
"clases-de-ingles-ged-y-capacitacion-laboral-austin-community-college-district","published","Austin Community College District","in_person_without_address",""
"agape-food-pantry-of-taylor-williamson","draft","Agape Food Pantry of Taylor","no_contact_method",""
"austin-youth-fitness-youth-development-and-recreation-programs","published","Austin Youth Fitness","in_person_without_address",""
"madella-hilliard-neighborhood-center-housing-and-financial-assistance-georgetown","draft","Madella Hilliard Neighborhood Center","draft_missing_source_url",""
"combined-community-action-climatizacion-y-asistencia-de-utilities-ceap-combined-community-action-inc","draft","Combined Community Action, Inc.","hours_one_language_only",""
"consulado-general-de-mexico-en-austin-consular-and-community-information","published","Consulado General de México en Austin","phone_not_dashed","512-478-2866 ext. 101"
"boys-and-girls-club-of-georgetown-youth-development-and-recreation-programs","published","Boys and Girls Club of Georgetown","in_person_without_address",""
"autoayuda-legal-juez-de-paz-precinto-1-condado-de-bastrop-bastrop-county-government","draft","Bastrop County Government","hours_one_language_only",""
"hill-country-community-ministries-food-pantry","published","Hill Country Community Ministries","no_description_either_language",""
"austin-child-guidance-center-mental-health-and-wellness-services","published","Austin Child Guidance Center","in_person_without_address",""
"wcchd-wilco-care","published","Williamson County and Cities Health District","no_description_either_language",""
"helping-hands-with-coordination-of-various-churches-williamson","draft","Helping Hands with coordination of various churches","no_contact_method",""
"foundation-communities-crossroads-travis","draft","Foundation Communities - Crossroads","no_contact_method",""
"upbring-support-for-foster-youth-and-families","published","Upbring","in_person_without_address",""
"pfetch-a-ride-ciudad-de-pflugerville-uber-city-of-pflugerville","published","City of Pflugerville – Pfetch a Ride","service_area_names_city",""
"uplift-texas-food-and-basic-needs-assistance","published","Uplift Texas","in_person_without_address",""
"double-up-food-bucks-food-assistance-benefits","published","Double Up Food Bucks Texas","service_area_names_city",""
"austin-clubhouse-mental-health-and-wellness-services","published","Austin Clubhouse","in_person_without_address",""
"op-veteran-op-veteran","published","OP Veteran","in_person_without_address",""
"op-veteran-op-veteran","published","OP Veteran","phone_not_dashed","(512) 965-3255"
"texas-parks-and-wildlife-department-tpwd-youth-development-and-recreation-programs","published","Texas Parks and Wildlife Department (TPWD)","in_person_without_address",""
"owbc-energy-assistance","published","Opportunities for Williamson & Burnet Counties","no_description_either_language",""
"round-rock-housing-authority-programs","published","Round Rock Housing Authority","no_description_either_language",""
"just-keep-livin-foundation-youth-development-and-recreation-programs","published","just keep livin Foundation","in_person_without_address",""
"link-cedar-park","published","City of Cedar Park","in_person_without_address",""
"samaritan-health-ministries-leander","published","Samaritan Health Ministries","no_description_either_language",""
"bluebonnet-trails-osar-williamson","published","Bluebonnet Trails Community Services","no_description_either_language",""
"mortgage-relief-helpline-care-connect-usa-community-support-bastrop","draft","Mortgage Relief Helpline: Care Connect USA","draft_missing_source_url",""
"families-in-nature-youth-development-and-recreation-programs","published","Families in Nature","in_person_without_address",""
"williamson-county-community-resource-navigation","published","Williamson County Community Resource Center","no_description_either_language",""
"capmetro-ruta-214-capital-metropolitan-transportation-authority-capmetro","published","Capital Metropolitan Transportation Authority (CapMetro) – Route 214","address_without_in_person",""
"capmetro-ruta-214-capital-metropolitan-transportation-authority-capmetro","published","Capital Metropolitan Transportation Authority (CapMetro) – Route 214","service_area_names_city",""
"apoyo-integral-para-familias-con-ninos-any-baby-can","published","Any Baby Can","no_description_either_language",""
"lake-travis-crisis-ministries-lake-travis-crisis-ministries","published","Lake Travis Crisis Ministries","phone_not_dashed","(512) 266-9810"
"hill-country-community-ministries-food-and-basic-needs-assistance","published","Hill Country Community Ministries","in_person_without_address",""
"transporte-gratuito-para-adultos-mayores-drive-a-senior","published","Drive a Senior","no_description_either_language",""
"transporte-gratuito-para-adultos-mayores-drive-a-senior","published","Drive a Senior","in_person_without_address",""
"stella-s-house-refuge-community-support-gonzales","draft","Stella's House (Refuge)","draft_missing_source_url",""
"austin-habitat-for-humanity-housing-and-basic-needs-assistance","published","Austin Habitat for Humanity","in_person_without_address",""
"ayuda-legal-civil-con-abogados-voluntarios-volunteer-legal-services-of-central-texas","published","Volunteer Legal Services of Central Texas","no_description_either_language",""
"drive-a-senior-transporte-para-adultos-mayores-del-centro-de-texas-drive-a-senior-antes-chariot","draft","Drive a Senior (antes ""Chariot"")","in_person_without_address",""
"volunteer-legal-services-central-texas-williamson","published","Volunteer Legal Services of Central Texas","in_person_without_address",""
"sociedad-de-san-vicente-de-paul-iglesia-sagrado-corazon-elgin-sacred-heart-catholic-church-sociedad-de-san-vicente-de-paul","draft","Sacred Heart Catholic Church / Sociedad de San Vicente de Paúl","address_without_in_person",""
"cary-council-on-at-risk-youth-education-and-learning-support-programs","published","CARY (Council on At Risk Youth)","in_person_without_address",""
"rock-ride-on-center-georgetown","published","ROCK Ride On Center for Kids","no_description_either_language",""
"sacred-heart-catholic-church-elgin-society-of-st-vincent-de-paul-bastrop","draft","Sacred Heart Catholic Church (Elgin)- Society of St. Vincent De Paul","no_contact_method",""
"texaslawhelp-williamson","published","TexasLawHelp.org","no_description_either_language",""
"dress-for-success-austin-community-support-for-individuals-and-families","published","Dress for Success Austin","in_person_without_address",""
"capmetro-pickup-manor-dessau-lago-vista-capital-metropolitan-transportation-authority-capmetro","published","Capital Metro – CapMetro Pickup","service_area_names_city",""
"goodwill-industries-of-ct-round-rock-job-center-education-and-employment-williamson","draft","GoodWill Industries of CT : Round Rock Job Center","no_contact_method",""
"hope-alliance-survivor-services","published","Hope Alliance","no_description_either_language",""
"navarro-high-school-family-resource-center-family-resource-center-support","published","Navarro High School Family Resource Center","service_area_names_city",""
"servicios-de-enlace-mckinney-vento-de-bisd-bastrop-independent-school-district-bisd","draft","Bastrop Independent School District (BISD)","hours_one_language_only",""
"round-mountain-baptist-church-williamson","draft","Round Mountain Baptist Church","no_contact_method",""
"todos-juntos-learning-center-community-support-for-individuals-and-families","published","Todos Juntos Learning Center","in_person_without_address",""
"manos-de-cristo-salud-dental-necesidades-basicas-y-educacion-manos-de-cristo-inc","published","Manos de Cristo, Inc.","address_without_in_person",""
"manos-de-cristo-salud-dental-necesidades-basicas-y-educacion-manos-de-cristo-inc","published","Manos de Cristo, Inc.","service_area_names_city",""
